service_id,date,exception_type
"MF10-17-309-aus","20250926","2"
"MF10-17-309-aus","20251003","2"
"MF10-17-309-aus","20251010","2"
"MF10-17-350-aus","20250725","2"
"MF10-17-350-aus","20250801","2"
"MF10-17-350-aus","20250808","2"
"MF10-17-350-aus","20250815","2"
"MF10-17-350-aus","20250822","2"
"MF10-17-350-aus","20250829","2"
"MF10-17-350-aus","20250905","2"
"MF10-17-350-aus","20250912","2"
"MF10-17-350-aus","20250919","2"
"MF10-17-350-aus","20250926","2"
"MF10-17-350-aus","20251003","2"
"MF10-17-350-aus","20251010","2"
"MF10-17-510-aus","20250725","2"
"MF10-17-510-aus","20250801","2"
"MF10-17-510-aus","20250808","2"
"MF10-17-510-aus","20250815","2"
"MF10-17-510-aus","20250822","2"
"MF10-17-510-aus","20250829","2"
"MF10-17-510-aus","20250905","2"
"MF10-17-510-aus","20250912","2"
"MF10-17-510-aus","20250919","2"
"MF10-17-510-aus","20250926","2"
"MF10-17-510-aus","20251003","2"
"MF10-17-510-aus","20251010","2"
"MF10-17-512-aus","20250725","2"
"MF10-17-512-aus","20250801","2"
"MF10-17-512-aus","20250808","2"
"MF10-17-512-aus","20250815","2"
"MF10-17-512-aus","20250822","2"
"MF10-17-512-aus","20250829","2"
"MF10-17-512-aus","20250905","2"
"MF10-17-512-aus","20250912","2"
"MF10-17-512-aus","20250919","2"
"MF10-17-512-aus","20250926","2"
"MF10-17-512-aus","20251003","2"
"MF10-17-512-aus","20251010","2"
"MF10-17-903-aus","20250725","2"
"MF10-17-903-aus","20250801","2"
"MF10-17-903-aus","20250808","2"
"MF10-17-903-aus","20250815","2"
"MF10-17-903-aus","20250822","2"
"MF10-17-903-aus","20250829","2"
"MF10-17-903-aus","20250905","2"
"MF10-17-903-aus","20250912","2"
"MF10-17-903-aus","20250919","2"
"MF10-17-903-aus","20250926","2"
"MF10-17-903-aus","20251003","2"
"MF10-17-903-aus","20251010","2"
"MF10-17-905-aus","20250725","2"
"MF10-17-905-aus","20250801","2"
"MF10-17-905-aus","20250808","2"
"MF10-17-905-aus","20250815","2"
"MF10-17-905-aus","20250822","2"
"MF10-17-905-aus","20250829","2"
"MF10-17-905-aus","20250905","2"
"MF10-17-905-aus","20250912","2"
"MF10-17-905-aus","20250919","2"
"MF10-17-905-aus","20250926","2"
"MF10-17-905-aus","20251003","2"
"MF10-17-905-aus","20251010","2"
"MF10-17-906-aus","20250725","2"
"MF10-17-906-aus","20250801","2"
"MF10-17-906-aus","20250808","2"
"MF10-17-906-aus","20250815","2"
"MF10-17-906-aus","20250822","2"
"MF10-17-906-aus","20250829","2"
"MF10-17-906-aus","20250905","2"
"MF10-17-906-aus","20250912","2"
"MF10-17-906-aus","20250919","2"
"MF10-17-906-aus","20250926","2"
"MF10-17-906-aus","20251003","2"
"MF10-17-906-aus","20251010","2"
"MF10-17-907-aus","20250725","2"
"MF10-17-907-aus","20250801","2"
"MF10-17-907-aus","20250808","2"
"MF10-17-907-aus","20250815","2"
"MF10-17-907-aus","20250822","2"
"MF10-17-907-aus","20250829","2"
"MF10-17-907-aus","20250905","2"
"MF10-17-907-aus","20250912","2"
"MF10-17-907-aus","20250919","2"
"MF10-17-907-aus","20250926","2"
"MF10-17-907-aus","20251003","2"
"MF10-17-907-aus","20251010","2"
"MF10-17-908-aus","20250725","2"
"MF10-17-908-aus","20250801","2"
"MF10-17-908-aus","20250808","2"
"MF10-17-908-aus","20250815","2"
"MF10-17-908-aus","20250822","2"
"MF10-17-908-aus","20250829","2"
"MF10-17-908-aus","20250905","2"
"MF10-17-908-aus","20250912","2"
"MF10-17-908-aus","20250919","2"
"MF10-17-908-aus","20250926","2"
"MF10-17-908-aus","20251003","2"
"MF10-17-908-aus","20251010","2"
"MF10-18-901-aus","20250725","2"
"MF10-18-901-aus","20250801","2"
"MF10-18-901-aus","20250808","2"
"MF10-18-901-aus","20250815","2"
"MF10-18-901-aus","20250822","2"
"MF10-18-901-aus","20250829","2"
"MF10-18-901-aus","20250905","2"
"MF10-18-901-aus","20250912","2"
"MF10-18-901-aus","20250919","2"
"MF10-18-901-aus","20250926","2"
"MF10-18-901-aus","20251003","2"
"MF10-18-901-aus","20251010","2"
"MF10-18-902-aus","20250725","2"
"MF10-18-902-aus","20250801","2"
"MF10-18-902-aus","20250808","2"
"MF10-18-902-aus","20250815","2"
"MF10-18-902-aus","20250822","2"
"MF10-18-902-aus","20250829","2"
"MF10-18-902-aus","20250905","2"
"MF10-18-902-aus","20250912","2"
"MF10-18-902-aus","20250919","2"
"MF10-18-902-aus","20250926","2"
"MF10-18-902-aus","20251003","2"
"MF10-18-902-aus","20251010","2"
"MF10-18-903-aus","20250725","2"
"MF10-18-903-aus","20250801","2"
"MF10-18-903-aus","20250808","2"
"MF10-18-903-aus","20250815","2"
"MF10-18-903-aus","20250822","2"
"MF10-18-903-aus","20250829","2"
"MF10-18-903-aus","20250905","2"
"MF10-18-903-aus","20250912","2"
"MF10-18-903-aus","20250919","2"
"MF10-18-903-aus","20250926","2"
"MF10-18-903-aus","20251003","2"
"MF10-18-903-aus","20251010","2"
"MF10-21-670-aus","20250717","2"
"MF10-21-670-aus","20250724","2"
"MF10-21-670-aus","20250731","2"
"MF10-21-670-aus","20250807","2"
"MF10-21-670-aus","20250814","2"
"MF10-21-693-aus","20250717","2"
"MF10-21-693-aus","20250724","2"
"MF10-21-693-aus","20250731","2"
"MF10-21-693-aus","20250807","2"
"MF10-21-693-aus","20250814","2"
"MF10-29-663-aus","20250714","2"
"MF10-29-663-aus","20250715","2"
"MF10-29-663-aus","20250716","2"
"MF10-29-663-aus","20250721","2"
"MF10-29-663-aus","20250722","2"
"MF10-29-663-aus","20250723","2"
"MF10-29-663-aus","20250728","2"
"MF10-29-663-aus","20250729","2"
"MF10-29-663-aus","20250730","2"
"MF10-29-663-aus","20250804","2"
"MF10-29-663-aus","20250805","2"
"MF10-29-663-aus","20250806","2"
"MF10-29-663-aus","20250811","2"
"MF10-29-663-aus","20250812","2"
"MF10-29-663-aus","20250813","2"
"MF10-29-663-aus","20250922","2"
"MF10-29-663-aus","20250923","2"
"MF10-29-663-aus","20250924","2"
"MF10-29-663-aus","20250929","2"
"MF10-29-663-aus","20250930","2"
"MF10-29-663-aus","20251001","2"
"MF10-29-663-aus","20251006","2"
"MF10-29-663-aus","20251007","2"
"MF10-29-663-aus","20251008","2"
"MF10-29-664-aus","20250714","2"
"MF10-29-664-aus","20250715","2"
"MF10-29-664-aus","20250716","2"
